,berry,blackberry,cherry,citrus,other,raspberry
44083,0,1,0,0,0,0
101508,0,0,0,0,1,0
49661,0,0,0,0,1,0
68355,0,0,0,1,0,0
8995,0,0,0,0,1,0
19274,1,0,0,0,0,0
109113,0,0,0,0,1,0
37149,1,0,0,0,0,0
115554,0,0,0,0,1,0
105424,0,0,1,0,0,0
25637,0,0,0,0,1,0
96339,0,0,1,0,0,0
119048,0,0,0,0,0,1
106926,0,0,0,0,1,0
40866,0,0,1,0,0,0
104259,0,0,0,0,1,0
102520,1,0,0,0,0,0
62705,0,0,0,0,1,0
112306,0,0,0,1,0,0
125635,0,0,1,0,0,0
40360,0,0,1,0,0,0
81728,0,0,1,0,0,0
17496,0,0,0,0,1,0
57460,0,0,0,0,1,0
103143,0,0,0,0,1,0
75784,0,0,0,0,1,0
70275,0,0,0,0,1,0
35874,0,0,0,1,0,0
67135,0,0,1,0,0,0
89675,0,0,1,0,0,0
56701,0,0,0,0,1,0
14180,0,0,0,0,1,0
64242,0,0,1,0,0,0
19025,0,1,0,0,0,0
76543,0,0,1,0,0,0
123821,0,0,1,0,0,0
632,0,0,0,1,0,0
58605,0,0,0,0,1,0
86714,0,0,0,0,1,0
112037,0,0,0,0,1,0
56940,1,0,0,0,0,0
35240,0,0,1,0,0,0
4051,1,0,0,0,0,0
83367,0,0,0,0,1,0
10039,0,0,0,0,1,0
96435,0,0,0,0,1,0
22543,0,0,0,1,0,0
26241,0,1,0,0,0,0
89455,0,0,1,0,0,0
30918,0,0,1,0,0,0
16051,0,0,0,0,1,0
55945,1,0,0,0,0,0
55338,0,0,0,0,1,0
39039,1,0,0,0,0,0
78866,0,0,0,0,1,0
125483,0,0,0,1,0,0
36550,0,0,1,0,0,0
127570,0,0,1,0,0,0
113587,0,0,0,0,1,0
26664,0,0,0,0,1,0
92439,0,0,0,0,1,0
70107,0,0,1,0,0,0
2132,0,0,0,0,1,0
126033,0,1,0,0,0,0
102914,0,0,0,0,1,0
122809,0,0,0,0,1,0
123034,0,0,1,0,0,0
3660,0,1,0,0,0,0
88117,1,0,0,0,0,0
84011,0,0,0,0,0,1
36391,0,0,1,0,0,0
97174,0,0,0,0,1,0
23785,0,0,0,0,1,0
28553,0,0,1,0,0,0
52192,0,0,1,0,0,0
9158,0,0,0,0,1,0
42405,0,1,0,0,0,0
6418,0,0,0,0,1,0
125207,0,0,0,1,0,0
94481,0,0,0,0,0,1
102818,0,0,0,1,0,0
37561,0,0,0,0,1,0
69841,0,0,0,0,1,0
73980,0,0,0,0,0,1
14597,0,1,0,0,0,0
106765,0,0,0,0,1,0
27019,0,0,0,1,0,0
93519,0,0,0,0,1,0
102403,0,0,0,1,0,0
88039,0,1,0,0,0,0
71194,0,0,0,0,0,1
49345,0,0,0,0,1,0
73831,0,0,1,0,0,0
4060,0,0,0,0,1,0
40419,1,0,0,0,0,0
19620,0,0,0,0,1,0
105230,0,0,0,0,1,0
23310,0,0,0,1,0,0
651,0,0,0,0,1,0
24554,1,0,0,0,0,0
30863,0,0,0,0,1,0
16536,0,0,0,0,1,0
123908,0,0,0,0,1,0
108595,0,0,0,0,1,0
113998,1,0,0,0,0,0
129107,0,0,0,0,1,0
121861,0,0,0,1,0,0
107768,0,0,0,0,1,0
83595,0,0,0,0,1,0
108068,0,0,0,1,0,0
67924,0,0,0,0,1,0
82967,0,0,0,0,1,0
48185,0,0,0,0,1,0
88187,0,0,0,0,1,0
102251,0,0,1,0,0,0
101317,1,0,0,0,0,0
126934,0,0,0,0,1,0
8075,1,0,0,0,0,0
113952,0,0,0,1,0,0
43338,0,0,1,0,0,0
106355,0,0,0,0,1,0
46425,0,0,0,1,0,0
128219,0,0,1,0,0,0
74153,0,0,1,0,0,0
18353,1,0,0,0,0,0
70998,0,0,0,0,1,0
84200,0,0,1,0,0,0
127045,0,0,0,0,0,1
96603,0,0,1,0,0,0
129858,0,0,0,0,1,0
70048,0,0,0,0,1,0
86376,0,0,0,0,1,0
38945,0,0,1,0,0,0
49563,0,0,0,1,0,0
66206,0,0,0,0,1,0
35384,0,0,0,0,1,0
57100,0,0,1,0,0,0
33463,0,0,0,1,0,0
69006,1,0,0,0,0,0
120756,1,0,0,0,0,0
48286,0,1,0,0,0,0
26563,0,0,0,0,0,1
57259,0,0,0,0,1,0
226,0,0,0,0,1,0
52323,0,0,0,0,1,0
35045,0,0,0,0,1,0
2097,0,0,0,0,0,1
128698,0,0,0,0,1,0
112317,0,0,1,0,0,0
5908,0,0,0,0,1,0
37413,0,0,0,1,0,0
115519,0,1,0,0,0,0
105916,0,0,0,0,0,1
14252,0,0,0,0,1,0
50747,0,1,0,0,0,0
69266,0,0,0,1,0,0
41440,0,0,0,0,1,0
82572,0,0,0,0,1,0
60569,0,0,1,0,0,0
101768,0,0,0,1,0,0
328,0,0,0,0,1,0
970,1,0,0,0,0,0
58665,0,0,0,1,0,0
50792,0,0,0,0,1,0
7786,0,0,0,0,1,0
88542,0,0,0,0,1,0
62828,1,0,0,0,0,0
96157,0,1,0,0,0,0
104889,1,0,0,0,0,0
99237,0,0,0,0,1,0
88811,0,0,0,0,1,0
117643,0,1,0,0,0,0
121277,0,0,0,0,1,0
129932,1,0,0,0,0,0
50556,0,0,0,0,1,0
87352,0,0,0,0,1,0
18959,0,0,0,0,1,0
74473,0,0,0,0,0,1
22274,0,0,0,1,0,0
90700,0,0,0,0,1,0
121246,0,0,0,0,1,0
60330,0,0,0,0,1,0
117730,0,0,0,0,1,0
43756,0,0,0,1,0,0
98252,0,0,0,0,1,0
118853,0,0,0,0,1,0
37063,0,1,0,0,0,0
104762,0,0,0,0,1,0
93115,0,0,0,0,1,0
89214,0,0,0,0,1,0
108064,0,0,0,1,0,0
128384,0,0,0,0,1,0
80689,0,1,0,0,0,0
37771,1,0,0,0,0,0
21794,0,0,0,0,1,0
5059,1,0,0,0,0,0
111901,0,0,0,0,1,0
101445,0,0,0,0,1,0
69013,0,0,1,0,0,0
108996,0,0,0,0,1,0
75072,0,0,0,0,1,0
108892,1,0,0,0,0,0
17989,0,0,1,0,0,0
123739,0,0,0,1,0,0
92936,0,0,1,0,0,0
90291,0,1,0,0,0,0
62334,0,1,0,0,0,0
51058,0,0,0,0,1,0
48857,0,0,0,0,1,0
39362,0,0,0,0,1,0
40719,0,1,0,0,0,0
117893,0,0,0,0,1,0
125862,0,0,0,0,1,0
83664,1,0,0,0,0,0
51589,0,0,0,1,0,0
128412,0,0,0,0,0,1
99715,0,0,0,0,1,0
31865,1,0,0,0,0,0
65968,0,0,0,1,0,0
110185,0,0,0,0,1,0
39490,0,0,0,0,1,0
121019,0,0,0,0,1,0
109483,0,0,0,0,1,0
60571,1,0,0,0,0,0
94353,0,0,0,0,1,0
17969,1,0,0,0,0,0
29478,0,0,0,0,1,0
18838,1,0,0,0,0,0
34194,0,0,0,0,1,0
28095,0,0,0,0,1,0
56341,0,0,0,1,0,0
48346,1,0,0,0,0,0
14196,0,0,1,0,0,0
34205,0,0,0,0,0,1
89174,0,0,1,0,0,0
87480,0,0,0,0,0,1
127139,0,0,1,0,0,0
60459,0,0,0,0,0,1
88431,0,0,1,0,0,0
75894,0,0,0,1,0,0
6110,1,0,0,0,0,0
89281,0,0,0,0,1,0
110643,0,0,1,0,0,0
34589,0,0,0,0,1,0
886,1,0,0,0,0,0
112079,0,0,0,1,0,0
104831,1,0,0,0,0,0
107996,1,0,0,0,0,0
80092,0,0,0,0,1,0
2110,0,0,0,0,1,0
25974,0,0,1,0,0,0
97730,1,0,0,0,0,0
76344,0,0,0,0,1,0
66862,0,0,0,0,1,0
95073,1,0,0,0,0,0
125676,1,0,0,0,0,0
84974,0,0,0,0,1,0
62998,0,0,0,1,0,0
13391,0,1,0,0,0,0
18411,0,0,1,0,0,0
78836,0,0,0,1,0,0
99860,0,0,0,0,1,0
125170,0,0,1,0,0,0
59864,0,0,0,0,1,0
7242,0,0,0,0,1,0
14657,0,0,0,1,0,0
14792,0,0,0,0,0,1
70771,0,0,0,0,1,0
33358,0,0,1,0,0,0
76496,0,0,0,0,0,1
63204,0,0,0,0,1,0
35625,0,0,0,0,1,0
120481,0,0,0,0,1,0
115378,0,0,0,0,1,0
37266,0,0,0,0,1,0
54207,0,0,1,0,0,0
13896,0,0,0,0,0,1
74064,0,1,0,0,0,0
62773,0,0,1,0,0,0
20670,0,0,0,0,1,0
33944,0,0,0,0,1,0
21776,0,1,0,0,0,0
65745,0,0,1,0,0,0
117648,0,0,1,0,0,0
121828,0,0,0,0,1,0
14475,0,0,0,0,1,0
89663,0,0,0,0,0,1
31580,0,1,0,0,0,0
15951,0,0,0,0,1,0
20803,0,0,0,1,0,0
45868,0,0,0,0,1,0
51562,0,0,1,0,0,0
15346,1,0,0,0,0,0
61308,0,0,0,0,1,0
64572,0,0,0,0,1,0
33295,0,0,0,0,1,0
84507,0,0,0,0,1,0
37749,0,0,0,0,1,0
21368,0,0,0,1,0,0
104317,0,0,0,0,1,0
78861,0,0,1,0,0,0
110321,0,0,0,0,1,0
90044,0,0,0,0,1,0
54311,0,0,0,0,1,0
111740,0,0,0,0,1,0
56376,0,0,1,0,0,0
104857,0,0,1,0,0,0
41506,1,0,0,0,0,0
72448,0,0,0,0,1,0
3076,1,0,0,0,0,0
20017,0,0,0,0,1,0
55995,0,0,0,0,1,0
83154,0,0,0,0,0,1
119280,0,0,0,0,1,0
102940,0,0,0,0,0,1
81992,0,0,0,0,1,0
113489,1,0,0,0,0,0
124709,0,0,0,0,1,0
111793,0,0,0,0,1,0
12711,0,0,0,0,1,0
29242,1,0,0,0,0,0
99674,0,0,0,1,0,0
10979,0,0,0,0,1,0
39147,0,0,0,0,1,0
52666,0,0,1,0,0,0
58832,0,0,0,0,1,0
51120,0,0,0,0,1,0
42619,0,1,0,0,0,0
75364,0,0,1,0,0,0
90441,0,1,0,0,0,0
89497,0,0,0,0,1,0
86176,0,1,0,0,0,0
113070,0,1,0,0,0,0
91316,1,0,0,0,0,0
111042,0,0,1,0,0,0
72568,0,0,0,0,1,0
79904,1,0,0,0,0,0
29474,0,0,0,0,0,1
99550,0,0,0,0,1,0
67935,0,0,1,0,0,0
71738,0,1,0,0,0,0
19018,0,0,0,0,1,0
74394,0,0,0,0,1,0
38456,0,0,0,0,1,0
122794,0,1,0,0,0,0
84808,0,0,0,0,1,0
94362,0,0,0,0,1,0
42128,0,0,0,0,1,0
124009,0,0,0,0,1,0
98845,1,0,0,0,0,0
103397,0,0,0,0,1,0
37990,0,0,0,0,0,1
16780,0,0,0,0,1,0
114050,0,0,0,0,1,0
67211,0,1,0,0,0,0
36423,0,0,1,0,0,0
85790,0,0,0,0,1,0
32877,0,0,0,1,0,0
16606,0,1,0,0,0,0
57400,0,0,0,0,1,0
6738,0,1,0,0,0,0
58961,0,0,0,0,1,0
92353,0,0,0,0,1,0
35622,0,0,0,0,1,0
127974,1,0,0,0,0,0
61708,0,0,1,0,0,0
122136,0,0,0,1,0,0
111775,0,0,0,0,1,0
67106,0,0,0,0,1,0
6213,0,0,0,0,1,0
59558,0,0,0,0,1,0
120637,0,0,0,0,0,1
106006,0,0,1,0,0,0
113029,0,0,0,0,1,0
68318,0,0,0,0,1,0
101019,0,0,0,0,1,0
74529,0,0,0,0,1,0
64978,0,0,0,0,1,0
104311,0,0,0,0,1,0
30076,1,0,0,0,0,0
99859,0,0,1,0,0,0
6396,1,0,0,0,0,0
112092,1,0,0,0,0,0
94268,0,0,0,0,1,0
115127,0,0,0,0,1,0
43317,0,0,1,0,0,0
54993,0,1,0,0,0,0
113871,0,0,0,0,1,0
118607,0,0,0,0,1,0
66420,0,0,0,0,1,0
92248,0,0,0,1,0,0
110532,1,0,0,0,0,0
86203,0,0,0,1,0,0
85671,0,0,0,0,1,0
116894,0,0,0,0,0,1
29826,0,0,0,1,0,0
91662,1,0,0,0,0,0
16624,0,0,1,0,0,0
63892,0,0,0,0,1,0
6404,0,0,0,0,0,1
126544,0,0,0,0,0,1
53854,0,0,0,0,1,0
33081,0,0,0,0,1,0
101901,0,0,0,0,1,0
41076,0,0,0,1,0,0
43681,0,0,0,0,0,1
115175,1,0,0,0,0,0
92566,0,0,1,0,0,0
44163,0,0,1,0,0,0
77620,0,1,0,0,0,0
31119,1,0,0,0,0,0
67734,0,0,1,0,0,0
33253,0,0,0,0,1,0
109625,0,0,0,0,1,0
109069,0,0,0,0,1,0
75084,0,0,0,0,0,1
48057,0,0,0,0,1,0
13464,0,0,0,0,1,0
78825,0,0,0,0,1,0
30874,0,0,0,1,0,0
34974,0,0,0,0,0,1
120418,0,0,1,0,0,0
21782,0,0,0,0,1,0
25831,0,0,0,1,0,0
3701,0,0,0,0,1,0
73605,0,1,0,0,0,0
86960,0,0,0,0,1,0
41370,0,0,0,1,0,0
20667,0,0,0,0,1,0
46693,0,0,1,0,0,0
114062,0,0,0,0,1,0
53776,0,0,1,0,0,0
28127,0,0,0,0,1,0
47270,0,0,0,1,0,0
41759,0,0,0,0,1,0
115748,0,0,0,0,1,0
30362,0,0,0,0,1,0
79074,0,0,0,1,0,0
32856,0,0,0,0,1,0
88727,1,0,0,0,0,0
43076,0,0,0,0,1,0
13451,0,0,1,0,0,0
48150,0,0,1,0,0,0
45859,0,0,1,0,0,0
11286,0,0,0,1,0,0
550,0,0,0,0,1,0
3395,0,0,0,0,1,0
67074,0,0,0,0,1,0
105892,1,0,0,0,0,0
15617,0,1,0,0,0,0
97861,0,0,0,0,1,0
98221,0,0,1,0,0,0
114741,0,1,0,0,0,0
25719,1,0,0,0,0,0
126453,0,0,0,0,1,0
77464,0,0,1,0,0,0
128606,0,0,0,0,1,0
21757,0,0,0,0,1,0
22251,0,0,0,0,1,0
43994,0,0,0,0,1,0
94882,0,0,0,0,1,0
54209,1,0,0,0,0,0
87251,0,0,0,0,1,0
88777,1,0,0,0,0,0
65465,0,0,1,0,0,0
14409,0,0,0,0,1,0
60072,0,0,0,0,1,0
99594,0,0,1,0,0,0
106525,0,0,0,0,1,0
59914,0,0,0,1,0,0
22088,0,0,0,0,1,0
25197,1,0,0,0,0,0
44855,0,0,0,1,0,0
94693,0,0,1,0,0,0
46424,0,0,1,0,0,0
72899,0,0,0,0,1,0
91807,0,0,0,0,1,0
75041,0,0,0,1,0,0
74503,0,0,1,0,0,0
109798,0,0,0,0,1,0
34502,0,0,1,0,0,0
13618,0,0,0,0,1,0
34476,0,0,0,0,1,0
2040,0,0,0,0,1,0
9214,0,0,1,0,0,0
62964,0,0,0,0,1,0
81220,0,1,0,0,0,0
114740,0,0,1,0,0,0
99898,0,0,0,0,1,0
49208,0,0,0,1,0,0
27983,0,0,0,0,1,0
22392,0,0,0,0,1,0
111544,0,0,0,0,1,0
22764,0,0,0,0,1,0
93266,1,0,0,0,0,0
65427,0,0,0,1,0,0
53553,0,0,0,0,1,0
68969,0,0,0,1,0,0
88833,0,0,0,0,1,0
86438,1,0,0,0,0,0
48642,0,0,0,0,1,0
124435,1,0,0,0,0,0
6062,0,0,0,0,1,0
105051,1,0,0,0,0,0
123685,0,0,0,0,1,0
65009,0,0,0,0,1,0
8776,0,0,0,0,1,0
117271,0,0,1,0,0,0
9937,1,0,0,0,0,0
46602,0,0,0,0,0,1
85560,1,0,0,0,0,0
34180,0,0,0,1,0,0
106852,0,0,0,0,1,0
8581,0,0,0,0,1,0
71199,0,0,0,0,1,0
80333,0,0,1,0,0,0
64584,0,0,0,1,0,0
108131,0,0,0,1,0,0
5488,1,0,0,0,0,0
37286,0,0,0,0,1,0
121381,0,0,0,1,0,0
94402,0,0,0,0,1,0
118992,1,0,0,0,0,0
2271,0,1,0,0,0,0
98620,0,0,1,0,0,0
108767,1,0,0,0,0,0
61364,0,0,1,0,0,0
66932,0,0,1,0,0,0
13462,0,0,0,1,0,0
47472,0,0,0,0,1,0
27976,0,0,0,1,0,0
73146,0,0,1,0,0,0
97298,0,0,0,1,0,0
86855,0,0,0,0,1,0
27168,0,0,0,0,1,0
121562,0,0,0,0,1,0
66623,0,0,0,1,0,0
102664,0,0,0,0,1,0
44096,0,0,0,0,1,0
5864,0,0,0,0,1,0
61036,0,0,0,0,0,1
28043,0,0,1,0,0,0
50433,0,0,0,1,0,0
34344,0,0,0,0,1,0
50392,0,0,0,0,1,0
120050,0,0,0,0,1,0
107380,0,0,1,0,0,0
10299,0,0,0,0,1,0
105237,0,0,0,1,0,0
111660,0,0,1,0,0,0
74925,0,0,1,0,0,0
96191,0,0,0,1,0,0
128252,0,0,0,0,1,0
34418,0,0,0,1,0,0
98775,0,0,1,0,0,0
62163,1,0,0,0,0,0
91227,0,0,1,0,0,0
19908,0,0,0,0,1,0
59346,0,0,0,0,1,0
24971,0,0,0,0,1,0
91188,0,0,0,1,0,0
75987,1,0,0,0,0,0
7834,0,0,0,0,1,0
115108,0,0,0,1,0,0
46160,0,0,0,0,1,0
77884,0,0,0,0,1,0
48712,0,0,0,0,1,0
103240,1,0,0,0,0,0
82448,1,0,0,0,0,0
30634,0,0,0,0,1,0
14784,0,1,0,0,0,0
16831,0,0,0,0,1,0
80484,0,0,0,0,1,0
105825,0,0,0,1,0,0
106822,0,0,0,0,1,0
80371,0,0,0,0,1,0
122824,0,0,0,0,1,0
74127,0,0,0,0,1,0
5173,0,0,1,0,0,0
39455,0,1,0,0,0,0
128444,0,0,0,0,1,0
43384,0,0,0,0,1,0
127955,0,0,1,0,0,0
92372,0,0,0,0,1,0
84840,0,0,0,0,1,0
52595,1,0,0,0,0,0
50269,0,0,0,0,1,0
43010,0,1,0,0,0,0
112686,0,0,0,1,0,0
92733,0,0,0,0,1,0
32468,0,0,1,0,0,0
58058,0,0,0,0,1,0
8932,0,0,0,0,1,0
73575,0,0,0,0,1,0
116046,1,0,0,0,0,0
63626,1,0,0,0,0,0
30983,0,1,0,0,0,0
37160,0,0,1,0,0,0
98990,0,0,0,0,1,0
87722,0,0,0,0,1,0
52425,0,0,0,0,1,0
6232,1,0,0,0,0,0
89266,0,0,1,0,0,0
1550,0,0,0,1,0,0
27645,0,0,0,0,1,0
31352,1,0,0,0,0,0
128902,0,0,0,0,1,0
39573,1,0,0,0,0,0
41497,0,0,0,0,1,0
36216,0,0,0,0,1,0
107484,0,1,0,0,0,0
39527,1,0,0,0,0,0
24661,0,0,0,1,0,0
41192,0,0,0,0,0,1
37513,0,0,0,0,1,0
36435,0,0,0,0,1,0
48953,0,0,1,0,0,0
63231,0,0,1,0,0,0
19428,0,0,1,0,0,0
46583,0,1,0,0,0,0
60869,0,0,0,0,0,1
39641,0,0,0,0,1,0
75679,0,1,0,0,0,0
41687,1,0,0,0,0,0
118338,1,0,0,0,0,0
3182,0,0,0,0,1,0
76776,0,0,1,0,0,0
114288,0,0,0,0,0,1
28297,0,0,1,0,0,0
56988,0,0,0,0,1,0
94994,0,0,0,0,1,0
7763,0,0,0,0,1,0
39143,0,0,0,0,1,0
61767,0,0,0,0,1,0
127863,0,0,0,0,1,0
124593,0,0,0,0,1,0
126002,0,0,0,0,1,0
110835,0,0,0,1,0,0
57591,0,1,0,0,0,0
56693,0,0,0,0,1,0
25646,0,0,0,0,1,0
18829,0,0,0,0,1,0
105012,0,0,0,0,1,0
72163,0,0,0,0,1,0
46949,0,0,0,0,0,1
93897,0,0,0,0,1,0
51669,0,0,1,0,0,0
40525,0,1,0,0,0,0
104460,0,0,0,0,1,0
36506,0,0,0,1,0,0
25305,0,0,0,0,1,0
91099,1,0,0,0,0,0
41612,0,0,1,0,0,0
119112,1,0,0,0,0,0
108293,1,0,0,0,0,0
108513,0,1,0,0,0,0
65699,0,1,0,0,0,0
128314,0,0,1,0,0,0
59918,1,0,0,0,0,0
49405,0,0,0,1,0,0
13001,0,0,0,0,1,0
124487,0,0,0,0,1,0
23024,1,0,0,0,0,0
56783,1,0,0,0,0,0
73214,0,0,0,0,1,0
5930,0,0,0,0,1,0
93211,0,0,0,0,1,0
85586,1,0,0,0,0,0
38618,0,0,0,0,1,0
37376,0,0,0,0,1,0
67533,0,0,1,0,0,0
52851,1,0,0,0,0,0
41766,0,0,0,0,1,0
26704,0,0,0,0,1,0
30524,0,0,1,0,0,0
15663,0,0,0,0,1,0
2683,1,0,0,0,0,0
99863,1,0,0,0,0,0
61950,0,0,0,0,1,0
68180,1,0,0,0,0,0
124751,1,0,0,0,0,0
117356,0,0,1,0,0,0
114924,0,0,0,0,1,0
45450,0,0,0,0,1,0
44048,0,0,0,0,1,0
11405,1,0,0,0,0,0
76547,0,0,0,0,1,0
52928,0,1,0,0,0,0
91275,0,0,0,0,1,0
6399,1,0,0,0,0,0
27555,0,0,0,0,1,0
63063,0,0,0,0,1,0
116667,1,0,0,0,0,0
120328,0,0,0,0,1,0
80942,0,0,0,0,1,0
120839,0,0,0,0,1,0
60351,0,0,0,0,1,0
82313,0,0,0,0,1,0
90738,0,0,0,0,1,0
66464,0,0,0,0,1,0
34291,0,0,0,1,0,0
12000,0,0,0,0,1,0
40374,0,0,0,0,1,0
6052,0,1,0,0,0,0
120117,0,0,0,1,0,0
120267,1,0,0,0,0,0
111424,0,0,0,0,0,1
41952,0,0,0,0,1,0
65999,0,0,1,0,0,0
49568,0,0,0,0,0,1
121798,0,0,0,0,1,0
72625,0,0,1,0,0,0
75855,0,0,0,0,1,0
31168,0,0,0,0,0,1
24187,0,0,1,0,0,0
101689,1,0,0,0,0,0
49980,0,0,0,0,1,0
65593,0,0,0,0,1,0
83490,0,0,1,0,0,0
74140,0,0,0,0,1,0
109581,0,0,1,0,0,0
72802,1,0,0,0,0,0
85507,0,0,0,0,1,0
88538,0,0,0,0,1,0
24329,1,0,0,0,0,0
128869,0,0,0,0,1,0
77675,0,0,0,0,1,0
72854,0,0,0,0,1,0
26840,1,0,0,0,0,0
59014,0,0,0,0,1,0
27101,0,0,0,0,1,0
115112,0,0,0,0,1,0
106145,0,0,0,0,1,0
125455,0,0,1,0,0,0
41134,0,0,0,0,1,0
56685,1,0,0,0,0,0
6245,0,0,0,0,1,0
11987,0,0,0,0,1,0
23706,0,0,0,0,0,1
35964,0,0,0,0,0,1
74664,0,0,0,0,1,0
81432,0,0,1,0,0,0
32708,0,0,0,0,1,0
118725,0,0,0,0,1,0
16298,1,0,0,0,0,0
12091,0,0,0,0,1,0
73798,0,0,0,0,1,0
60381,0,0,1,0,0,0
33030,0,0,0,0,1,0
91158,0,0,1,0,0,0
41557,0,0,0,0,1,0
10141,0,0,1,0,0,0
86471,0,0,0,0,1,0
28196,1,0,0,0,0,0
105906,0,0,0,0,1,0
118008,0,0,0,1,0,0
120874,0,0,0,0,1,0
30039,0,0,0,0,1,0
39696,0,0,0,0,1,0
41810,1,0,0,0,0,0
106980,0,0,0,0,1,0
17170,0,1,0,0,0,0
129647,0,0,1,0,0,0
24973,0,0,0,0,1,0
95008,0,0,0,0,1,0
15054,0,0,1,0,0,0
19624,1,0,0,0,0,0
65260,0,0,1,0,0,0
121113,0,0,0,0,0,1
93892,0,0,1,0,0,0
49701,1,0,0,0,0,0
46080,0,0,0,0,1,0
89734,0,0,0,0,1,0
124745,0,0,1,0,0,0
116574,0,0,1,0,0,0
61400,1,0,0,0,0,0
121875,0,0,0,0,1,0
56283,0,0,0,0,1,0
80368,0,0,0,0,0,1
78685,1,0,0,0,0,0
33702,0,0,0,0,1,0
124494,0,0,0,0,1,0
98558,1,0,0,0,0,0
20371,0,0,0,0,1,0
68985,0,0,1,0,0,0
122066,0,0,1,0,0,0
103331,0,0,0,0,0,1
27784,0,0,1,0,0,0
30370,0,1,0,0,0,0
40219,1,0,0,0,0,0
106814,0,0,0,0,0,1
19845,0,0,0,0,1,0
2165,0,0,0,1,0,0
11206,0,0,0,1,0,0
39473,0,1,0,0,0,0
2280,0,1,0,0,0,0
59877,0,0,0,0,1,0
79856,0,0,0,0,1,0
106742,0,0,0,0,1,0
85296,0,0,1,0,0,0
24665,0,0,0,0,1,0
69422,0,0,0,0,1,0
36657,0,0,0,1,0,0
20274,0,0,0,0,1,0
41681,0,0,0,1,0,0
76873,0,0,1,0,0,0
36905,0,0,0,1,0,0
17372,1,0,0,0,0,0
109855,0,0,0,0,1,0
113921,0,0,0,0,1,0
575,0,0,0,0,1,0
112750,0,1,0,0,0,0
103112,1,0,0,0,0,0
109478,0,0,0,1,0,0
104179,0,0,0,0,0,1
119808,0,0,1,0,0,0
119528,0,0,0,1,0,0
35487,0,0,1,0,0,0
56384,0,1,0,0,0,0
20972,0,0,0,0,1,0
111618,1,0,0,0,0,0
8676,0,0,1,0,0,0
127915,0,0,0,0,1,0
7326,0,0,0,0,1,0
48452,0,0,0,1,0,0
87669,0,0,0,0,1,0
84185,0,0,0,0,1,0
123887,0,0,0,0,1,0
23764,0,0,0,0,1,0
59401,0,0,0,0,1,0
53523,0,0,1,0,0,0
120069,0,0,0,0,1,0
21973,1,0,0,0,0,0
27480,0,0,0,0,1,0
